Name;Tracks;Scrobbles;Rank
"Bruxas";"3";"4";"2897"
"Hatis Noit";"3";"3";"3427"
"Qasim Naqvi";"1";"1";"5642"
"A Winged Victory for the Sullen";"8";"30";"462"
"Daniel Thorne";"1";"1";"5643"
"Daniel Brandt";"2";"9";"1610"
"Luca Musto & Loewenthal";"1";"1";"5644"
"MixMag";"3";"4";"2898"
"machaka";"4";"7";"1979"
"Douglas Dare";"11";"36";"388"
"Keith Jarrett";"19";"60";"224"
"Black Flower";"6";"10";"1485"
"Z Lovecraft";"2";"4";"2899"
"Islandman";"55";"323";"11"
"KH015";"1";"1";"5645"
"RED BULL MUSIC ACADEMY";"1";"1";"5646"
